# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
213.7037541; -12.8049743; 4.5163891; 1.2772984; 0.0056302; 18.8588377; -10.5133270
214.1032004; -13.1874571; 4.6315310; 1.2794566; 0.0052939; 18.6348260; -10.4958806
214.5026466; -13.5702047; 4.7458698; 1.2815437; 0.0052606; 18.4084671; -10.5263005
214.9020929; -13.9531713; 4.8593833; 1.2837827; 0.0059503; 18.1786214; -10.4419679
215.3015392; -14.3364099; 4.9719789; 1.2863916; 0.0073852; 17.9477092; -10.3270818
215.7009854; -14.7200064; 5.0834499; 1.2897146; 0.0092852; 17.7163777; -10.1331705
216.1004317; -15.1039803; 5.1934821; 1.2938567; 0.0114538; 17.4864154; -9.9328554
216.4998780; -15.4884549; 5.3017587; 1.2988431; 0.0134474; 17.2580254; -9.7492606
216.8993243; -15.8735491; 5.4079810; 1.3045904; 0.0153092; 17.0308787; -9.5261102
217.2987705; -16.2592233; 5.5118333; 1.3110432; 0.0170006; 16.8059659; -9.3484118
217.6982168; -16.6456036; 5.6130678; 1.3181622; 0.0186177; 16.5822831; -9.1825854
218.0976631; -17.0328005; 5.7114452; 1.3259121; 0.0201749; 16.3595909; -8.9934486
218.4971093; -17.4206617; 5.8066719; 1.3342696; 0.0216744; 16.1385072; -8.8384218
218.8965556; -17.8093685; 5.8985459; 1.3432259; 0.0231811; 15.9182432; -8.6893100
219.2960019; -18.1990300; 5.9868439; 1.3527902; 0.0246900; 15.6986828; -8.5194508
219.6954481; -18.5893245; 6.0712493; 1.3629357; 0.0261168; 15.4803913; -8.3751179
220.0948944; -18.9805895; 6.1516014; 1.3736639; 0.0276848; 15.2627552; -8.2334290
220.4943407; -19.3728824; 6.2276515; 1.3850745; 0.0294273; 15.0457327; -8.0732132
220.8937869; -19.7656313; 6.2990819; 1.3966402; 0.0284736; 14.8298497; -7.9330356
221.2932332; -20.1593876; 6.3660684; 1.4080099; 0.0296851; 14.6146091; -7.7905930
221.6926795; -20.5541701; 6.4284001; 1.4206489; 0.0335628; 14.4001025; -7.6305055
222.0921258; -20.9495669; 6.4854161; 1.4347489; 0.0370492; 14.1868600; -7.4973966
222.4915720; -21.3460470; 6.5366052; 1.4502655; 0.0402450; 13.9741684; -7.3595704
222.8910183; -21.7428373; 6.5813650; 1.4668418; 0.0428636; 13.7621902; -7.2091039
223.2904646; -22.1412059; 6.6194087; 1.4844905; 0.0453322; 13.5513312; -7.0719970
223.6899108; -22.5394527; 6.6501621; 1.5031391; 0.0478661; 13.3412448; -6.9230554
224.0893571; -22.9378724; 6.6732815; 1.5226817; 0.0501760; 13.1323279; -6.7474853
224.4888034; -23.3381593; 6.6884724; 1.5431568; 0.0519469; 12.9254601; -6.5867009
224.8882496; -23.7373065; 6.6953166; 1.5642574; 0.0535423; 12.7202773; -6.4119585
225.2876959; -24.1356181; 6.6936465; 1.5857936; 0.0546368; 12.5173075; -6.1707824
225.6871422; -24.5363132; 6.6832337; 1.6077835; 0.0550141; 12.3188147; -5.9576248
226.0865884; -24.9352561; 6.6640728; 1.6298141; 0.0552961; 12.1240956; -5.7330292
226.4860347; -25.3326517; 6.6361978; 1.6518298; 0.0552985; 11.9337178; -5.4626185
226.8854810; -25.7301636; 6.5994887; 1.6739260; 0.0551611; 11.7494500; -5.5109405
227.2849273; -26.1267080; 6.5540044; 1.6961671; 0.0562861; 11.5605763; -5.9038711
227.6843735; -26.5211952; 6.4997756; 1.7187585; 0.0578255; 11.3547508; -6.4592989
228.0838198; -26.9150978; 6.4363713; 1.7422051; 0.0620228; 11.1252003; -7.2653742
228.4832661; -27.3082896; 6.3629291; 1.7694318; 0.0729729; 10.8612075; -8.6638149
228.8827123; -27.6947327; 6.2789798; 1.8008871; 0.0857513; 10.5377593; -9.3777269
229.2821586; -28.0826788; 6.1809727; 1.8345390; 0.0684514; 10.1760785; -9.9918742
229.6816049; -28.4700726; 6.0718083; 1.8537597; 0.0290483; 9.7759982; -10.5139606
230.0810511; -28.8528257; 5.9590847; 1.8583207; -0.0057678; 9.3365206; -10.2076592
230.4804974; -29.2388845; 5.8463420; 1.8493182; -0.0388472; 8.8890828; -9.8818629
230.8799437; -29.6248452; 5.7401631; 1.8267889; -0.0750946; 8.4333414; -9.2345178
231.2793899; -30.0172513; 5.6448938; 1.7888432; -0.1109070; 7.9839752; -8.5746154
231.6788362; -30.4062235; 5.5687786; 1.7360679; -0.1551583; 7.5427888; -7.4581026
232.0782825; -30.8054434; 5.5156726; 1.6675734; -0.1924663; 7.1369069; -6.5074362
232.4777288; -31.2069174; 5.4940049; 1.5785225; -0.2431125; 6.7628913; -5.2077648
232.8771750; -31.5982693; 5.5104224; 1.4772657; -0.2609240; 6.4479651; -4.4945727
233.2766213; -31.9871944; 5.5655511; 1.3824653; -0.2516726; 6.1632437; -5.2797763
233.6760676; -32.3741201; 5.6599609; 1.2789878; -0.2734739; 5.8109895; -6.6084360
234.0755138; -32.7505936; 5.7969141; 1.1621132; -0.3139708; 5.3374310; -7.9718713
234.4749601; -33.1077088; 5.9806422; 1.0259420; -0.3606733; 4.7031373; -9.0221153
234.8744064; -33.4337909; 6.2136603; 0.8709665; -0.4168236; 3.8615800; 3.4799466
235.2738526; -33.7175416; 6.4937774; 0.7168090; -0.3583504; 4.2061745; 0.2351747
235.6732989; -33.9583494; 6.8128817; 0.5752388; -0.3665263; 4.2284492; -0.2731321
236.0727452; -34.1493068; 7.1624810; 0.4234376; -0.3773385; 4.2025682; 3.5039505
236.4721914; -34.2868155; 7.5375809; 0.2827488; -0.3261058; 4.5233682; 3.0877427
236.8716377; -34.3736362; 7.9268177; 0.1574473; -0.3059855; 4.7882809; 2.9674902
237.2710840; -34.4123314; 8.3252748; 0.0371100; -0.2927302; 5.0297455; 2.8508712
237.6705303; -34.4040114; 8.7249367; -0.0782641; -0.2837616; 5.2512741; 2.7129334
238.0699765; -34.3506521; 9.1202824; -0.1896154; -0.2772945; 5.4537347; 2.6048083
238.4694228; -34.2532533; 9.5100342; -0.2995244; -0.2695525; 5.6412927; 2.5641514
238.8688691; -34.1144195; 9.8865889; -0.4059382; -0.2559771; 5.8200228; 2.5464527
239.2683153; -33.9389545; 10.2442078; -0.5062766; -0.2541921; 5.9922456; 2.5485730
239.6677616; -33.7309375; 10.5791805; -0.6045346; -0.2493070; 6.1597925; 2.5676234
240.0672079; -33.4911081; 10.8933902; -0.6969680; -0.2241951; 6.3241046; 2.6785428
240.4666541; -33.2205507; 11.1884635; -0.7869473; -0.2223310; 6.4910836; 2.8834882
240.8661004; -32.9238156; 11.4589950; -0.8761230; -0.2216157; 6.6661656; 3.0080969
241.2655467; -32.6092880; 11.6989437; -0.9612603; -0.2101649; 6.8440419; 3.1235125
241.6649930; -32.2715843; 11.9143837; -1.0437451; -0.1979466; 7.0239775; 3.2340491
242.0644392; -31.9158718; 12.1032078; -1.1211926; -0.1872101; 7.2055477; 3.3485619
242.4638855; -31.5511569; 12.2633078; -1.1919558; -0.1698101; 7.3888470; 3.4629258
242.8633318; -31.1742895; 12.3989893; -1.2576691; -0.1576326; 7.5737418; 3.5749743
243.2627780; -30.7904304; 12.5103578; -1.3184921; -0.1474291; 7.7599991; 3.7287271
243.6622243; -30.4007567; 12.5987644; -1.3766655; -0.1437289; 7.9496187; 3.8758167
244.0616706; -30.0069331; 12.6646323; -1.4330745; -0.1372754; 8.1420390; 4.0459290
244.4611168; -29.6100339; 12.7088533; -1.4859595; -0.1276394; 8.3381689; 4.4254046
244.8605631; -29.2112683; 12.7328188; -1.5348606; -0.1169789; 8.5475426; 4.6724919
245.2600094; -28.8119363; 12.7381279; -1.5794302; -0.1062836; 8.7631788; 4.9949124
245.6594556; -28.4126998; 12.7264806; -1.6198017; -0.0958875; 8.9879754; 5.3290258
246.0589019; -28.0141106; 12.6995347; -1.6561551; -0.0862476; 9.2217688; 5.5788870
246.4583482; -27.6168071; 12.6588858; -1.6887366; -0.0770981; 9.4603357; 5.8976937
246.8577945; -27.2208600; 12.6059986; -1.7178736; -0.0687854; 9.7061617; 6.1768185
247.2572407; -26.8264565; 12.5422333; -1.7437950; -0.0611896; 9.9571175; 6.4188579
247.6566870; -26.4339346; 12.4688855; -1.7667822; -0.0540502; 10.2113744; 6.7231920
248.0561333; -26.0428632; 12.3870190; -1.7871035; -0.0476660; 10.4710684; 6.9836646
248.4555795; -25.6534605; 12.2977246; -1.8049236; -0.0417184; 10.7341731; 7.2296970
248.8550258; -25.2658644; 12.2020196; -1.8204458; -0.0360761; 10.9999192; 7.5498530
249.2544721; -24.8793171; 12.1006291; -1.8338452; -0.0309715; 11.2707473; 7.8230605
249.6539183; -24.4942254; 11.9945089; -1.8452168; -0.0260791; 11.5446753; 8.0916875
250.0533646; -24.1104701; 11.8844442; -1.8546842; -0.0213428; 11.8213332; 8.4613743
250.4528109; -23.7273154; 11.7710024; -1.8623060; -0.0167923; 12.1038691; 4.1965055
250.8522571; -23.3451797; 11.6550784; -1.8679668; -0.0109495; 12.2415768; 13.6308376
251.2517034; -22.9634919; 11.5374740; -1.8709274; -0.0038689; 12.6785558; 9.4656192
