center_x,center_y,inner_x,inner_y,outer_x,outer_y,dist_inner,dist_outer
69.0,219.0,46.99607843137255,222.0,92.00392156862745,212.0,22.207488925997648,24.045382249728597
69.0,225.0,46.99607843137255,225.0,93.00392156862745,214.0,22.003921568627447,26.40432257553331
69.0,231.0,46.99607843137255,227.0,93.00392156862745,214.0,22.36453809937304,29.414082523050382
74.0,236.0,46.99607843137255,227.0,94.00392156862745,215.0,28.464219295188524,29.00270466911316
79.0,241.0,81.0,265.00392156862745,99.0,219.99607843137255,24.087097182367533,29.002839882691717
85.0,242.0,91.0,264.00392156862745,99.0,219.99607843137255,22.807291912857785,26.08011818221513
91.0,242.0,99.0,262.00392156862745,105.0,223.99607843137255,21.544300362829105,22.806604127955758
97.0,240.0,104.0,260.00392156862745,105.0,223.99607843137255,21.19332154533117,17.892051463562773
103.0,240.0,112.0,256.00392156862745,105.0,223.99607843137255,18.36097779462681,16.12840678972287
109.0,240.0,112.0,256.00392156862745,109.0,223.99607843137255,16.28267501287116,16.003921568627447
115.0,240.0,115.0,256.00392156862745,115.0,223.99607843137255,16.003921568627447,16.003921568627447
121.0,240.0,121.0,256.00392156862745,121.0,223.99607843137255,16.003921568627447,16.003921568627447
127.0,240.0,121.0,256.00392156862745,126.0,222.99607843137255,17.091679425228488,17.033301168946487
133.0,240.0,127.0,258.00392156862745,134.0,222.99607843137255,18.977386328187784,17.033301168946487
139.0,241.0,133.0,260.00392156862745,139.0,222.99607843137255,19.928598420023008,18.003921568627447
145.0,244.0,141.0,263.00392156862745,145.0,222.99607843137255,19.420325305888763,21.003921568627447
151.0,247.0,147.0,264.00392156862745,161.0,228.99607843137255,17.468066541893915,20.594688437781443
157.0,250.0,157.0,264.00392156862745,166.0,231.99607843137255,14.003921568627447,20.128119431513927
163.0,250.0,163.0,264.00392156862745,171.0,234.99607843137255,14.003921568627447,17.00346030775865
169.0,250.0,163.0,264.00392156862745,171.0,234.99607843137255,15.235150780358856,15.136633127532818
175.0,250.0,170.0,267.00392156862745,175.0,235.99607843137255,17.72380739886421,14.003921568627447
181.0,252.0,173.0,268.00392156862745,181.0,235.99607843137255,17.892051463562773,16.003921568627447
187.0,254.0,187.0,270.00392156862745,194.0,237.99607843137255,16.003921568627447,17.46784204115605
193.0,255.0,187.0,270.00392156862745,198.0,238.99607843137255,16.159135572100503,16.766797713778825
199.0,255.0,199.0,271.00392156862745,201.0,239.99607843137255,16.003921568627447,15.136633127532818
205.0,255.0,205.0,270.00392156862745,205.0,239.99607843137255,15.003921568627447,15.003921568627447
